,total_sessions,total_session_seconds,total_calories
3295-2,3,13980,2871
1124-24,4,28080,5133
4622-34,2,13560,1796
1489-12,4,12240,3272
265-16,4,31860,3675
2030-38,4,27300,3447
1244-10,3,20520,3780
3767-24,2,19680,1179
396-38,2,9420,1915
1481-20,2,12300,1614
108-19,4,22080,2456
3564-1,1,5820,585
2907-16,3,21660,3331
4732-6,2,15900,2978
3439-20,3,18360,1733
3197-29,5,30120,4058
1186-19,2,16680,2438
4132-34,1,3300,496
3076-41,1,2700,807
413-19,2,17520,1635
3159-33,3,15360,2187
483-37,4,21000,2954
2960-17,1,6540,1080
3848-20,2,14940,1416
603-39,1,9180,344
1082-19,5,26040,3835
4268-18,1,5280,693
4356-19,1,9960,1633
25-27,4,29940,5829
198-24,3,15540,3324
2627-12,3,23760,2016
423-26,1,10380,528
1142-3,2,12480,1404
2054-11,1,5160,495
1121-7,2,12960,1666
4168-5,1,2940,193
4528-1,2,11700,1007
4476-1,3,16140,3301
1794-33,3,22200,3173
4904-1,3,13980,1995
56-13,2,14700,933
2264-33,3,31680,3789
21-30,4,24840,2542
3699-41,1,5280,724
291-3,3,19260,3520
1995-27,2,11940,1665
835-21,1,2220,1133
4284-7,2,16620,1692
4310-41,2,9240,1292
1915-15,3,15180,1832
2602-13,2,8340,1227
1502-35,2,7080,1891
3322-20,3,26760,1298
4689-32,3,17820,2447
4137-25,1,6660,736
20-14,3,20460,4204
1033-18,1,8640,1223
825-7,4,21660,2816
3275-10,1,5880,531
3662-36,3,13320,2622
3794-24,2,9780,1659
748-36,1,5880,934
4082-6,3,17220,3421
2367-16,2,14700,2047
968-25,4,19920,3013
3548-11,1,9240,872
4348-5,3,21780,2456
4436-14,2,7500,1662
2799-7,1,5700,1428
3016-8,1,3600,1117
1805-11,3,21600,2176
2679-16,4,22080,3610
2024-10,2,13560,2374
2419-40,2,13380,1589
4433-34,4,24360,3216
1924-14,2,17460,2079
1369-24,3,23100,2385
2321-10,1,2880,1338
3325-6,1,7200,1195
1878-41,1,2940,1388
2688-4,1,5280,722
1398-33,2,10380,1565
3676-24,2,6060,2481
1920-5,2,13020,1612
6-24,1,9420,717
586-31,2,9720,2786
1522-26,3,27960,2271
3879-24,6,35940,5815
3470-18,2,6720,1582
822-24,3,19680,4042
4334-17,3,16080,2682
3094-34,1,5640,1040
3113-40,4,30660,3579
858-14,1,9900,984
2306-35,5,20520,5857
2551-22,4,27600,4467
2187-15,1,9420,915
1226-37,1,5280,811
2557-20,2,12120,1429
654-17,3,17760,1946
1340-21,1,7380,899
4557-19,3,15720,2823
2718-11,1,5640,1345
3393-14,4,26040,3292
1063-19,1,9660,1515
4529-29,1,2760,318
2533-22,2,11400,1228
1609-6,3,19380,2185
1082-11,2,10560,1541
2649-34,1,2040,631
4751-52,2,11340,1983
2655-40,1,5700,435
156-8,3,20640,2612
4297-23,3,15840,2282
3070-24,2,11880,2023
1964-15,1,6720,1382
4595-16,2,19380,2267
1235-4,2,15540,2001
1477-14,2,11880,2332
3756-29,2,12360,1738
831-40,1,3960,549
3729-14,1,7500,899
1343-38,2,13740,1643
2165-13,5,28980,4656
2745-13,3,21840,3316
4299-30,1,8580,666
1845-40,6,41220,8017
462-8,3,16560,2146
2992-41,1,9960,1286
1579-9,1,2700,764
201-8,3,16980,3618
516-32,2,12840,2158
4840-29,2,20400,819
4971-31,2,15420,2212
2397-31,2,9300,2132
3232-40,2,11460,1154
3697-29,2,13080,1031
1276-9,3,21300,2349
3294-2,2,7500,1144
1630-35,1,5640,706
4019-36,2,13500,1871
4490-22,2,14340,1906
2017-38,2,12240,1167
167-17,2,7860,2530
976-1,3,10260,1927
4548-38,5,33480,4443
860-19,3,16980,3882
3945-25,2,13320,1276
210-33,3,16500,2108
4864-17,2,17040,1180
1609-19,2,13980,1545
214-36,2,16140,2648
3432-40,2,4320,1561
973-27,2,10500,923
3800-6,2,6780,1218
304-23,3,27300,2218
1836-25,1,2700,926
861-12,2,18060,1821
4048-29,3,24720,2076
1856-36,2,10260,1488
3462-1,2,12300,1414
2168-37,5,25980,6267
1634-18,4,25680,4299
2475-8,2,12240,1833
2378-29,4,28380,2969
1751-25,2,11940,664
2683-35,3,18060,2717
3412-2,3,28260,3220
4660-24,2,15780,933
4276-5,4,10980,3951
4386-27,3,18600,3610
4283-21,5,46500,3308
486-14,1,3420,1555
1361-22,1,7740,871
773-41,2,9600,1321
3778-19,2,14460,1424
1833-18,3,21120,3446
1300-36,3,16320,1776
182-39,2,12120,1410
1263-3,3,12060,2185
3906-1,4,17040,3022
146-8,1,5760,368
3943-6,1,7140,653
1840-2,2,14580,2006
4595-5,1,4920,614
803-2,5,39600,4930
1999-31,4,30060,5144
3951-32,5,27420,5434
1319-26,3,17340,1781
4627-35,1,6180,755
3799-35,3,19260,1665
2259-6,3,23820,3442
2941-17,3,18720,2395
4062-26,2,11520,1875
2053-12,1,3720,742
3853-19,1,6300,1136
216-6,2,10080,1555
786-8,2,8520,1891
1636-25,4,21360,4982
2300-28,2,16080,2351
3753-3,1,2280,452
3110-20,2,10200,1846
4324-15,2,18600,1799
285-18,2,11280,749
3582-4,3,13980,2810
2011-33,1,4980,1156
2414-15,1,8820,793
1644-27,2,21120,1310
1128-37,1,7080,1120
3473-18,3,25500,2573
1270-5,5,34200,7025
3779-20,2,19560,1503
644-15,4,20700,5077
2779-14,3,24180,2530
26-15,3,15240,2931
3323-25,2,12900,977
2046-30,2,11340,1871
3938-7,2,12960,1626
4808-14,2,16020,1775
1026-5,4,24780,3729
3831-16,1,2820,755
1069-14,2,14340,1052
939-36,1,9360,1056
4099-15,4,19740,3010
1473-3,5,29580,5551
3648-1,2,13380,3039
2326-16,4,18780,2716
176-24,1,2820,1401
1144-25,2,12120,2305
3511-9,4,23820,3141
4063-9,1,9840,608
951-1,3,18240,2090
4437-3,1,8700,1808
121-28,1,3900,1028
4671-32,1,4260,841
1921-29,3,21180,3218
1685-3,3,25500,2072
969-26,3,11940,3065
3809-12,1,4260,596
4781-16,2,13440,1564
3316-1,2,11340,1971
4739-25,3,10800,2902
1105-21,2,10980,1376
4390-29,3,19020,2322
4843-23,1,8940,343
3885-37,4,25500,3547
733-19,3,18720,2016
1582-40,2,16080,1808
3680-37,2,7020,2258
3853-33,2,8700,1513
2428-16,2,19560,1501
324-28,2,7920,1362
3700-7,2,12600,1487
2993-2,1,7740,406
362-33,6,37500,4093
2101-15,2,17280,1225
4498-30,3,13500,2030
4777-5,1,6180,471
1893-29,1,9600,452
2755-16,1,4620,289
1473-34,2,13620,2065
1107-30,2,17700,1918
2427-5,1,3360,678
1804-14,1,4380,288
2028-8,5,35040,5711
81-17,2,13140,2365
2969-8,3,17340,3670
2542-20,1,9120,578
3740-5,2,10440,1692
2989-32,2,12480,2181
4837-8,4,28260,3306
325-12,1,6180,274
2362-34,4,22080,3184
1235-22,3,23100,1005
103-12,1,2940,880
4913-13,1,6300,1621
747-15,1,5160,1270
4909-36,1,5640,798
3692-7,3,23040,3431
3486-10,2,14220,936
1248-37,2,6180,2108
3065-39,2,14520,1273
1720-19,3,13980,2078
2203-38,1,10140,680
3306-4,2,10320,1165
2537-36,2,14220,1482
3486-28,3,15120,2988
1790-34,6,37140,4355
1765-5,3,18300,3337
3358-26,1,8040,420
4683-7,3,14880,3060
2998-30,2,14100,1101
260-15,5,37080,4252
1919-8,1,2820,1088
1787-32,2,15360,1458
100-31,1,8760,559
3906-19,1,9180,1121
2343-21,3,21180,1756
3234-26,3,19980,1868
3250-24,2,20040,2946
328-24,3,18420,2885
1352-18,2,15660,1804
2812-15,4,24420,3545
2290-23,3,21120,2907
1366-18,2,8520,2377
3163-38,4,25740,3024
3100-18,4,26700,4334
4555-29,2,10560,1931
3703-16,1,4920,1334
1409-13,1,8580,556
1511-35,3,16860,1548
220-7,2,20340,2119
4955-38,1,4860,907
2169-22,4,31860,2537
3187-33,3,17640,2039
3240-10,5,32640,3900
4531-25,3,14640,2931
1270-28,1,3960,341
4376-4,1,5280,1543
3818-10,1,7140,295
68-7,1,8520,1230
1672-8,6,42300,4436
743-16,2,7380,2047
2013-28,3,15960,2565
1706-8,1,5040,701
1447-7,3,18960,2825
3070-34,4,18780,3645
291-36,5,31200,4105
3680-35,2,17520,1633
3911-5,1,8100,1830
4652-4,1,7260,811
353-4,2,16260,2051
1264-20,1,9660,658
1827-30,4,32940,2923
4379-27,4,26700,3694
1606-32,2,8400,1894
3837-40,2,11460,1745
3399-21,3,17460,3758
4552-39,3,17340,2379
3007-31,2,7020,2501
1005-30,3,14700,1739
2079-32,1,4500,1341
2496-9,2,8280,2014
2262-39,1,4860,1316
3765-25,3,24360,3373
1738-14,2,13020,759
3097-2,2,11940,1310
2445-14,4,25080,3656
337-11,2,5040,2131
2984-5,7,34260,7988
968-14,2,9000,1873
4999-35,1,3720,1939
672-30,4,16440,2406
1304-41,1,4620,680
4865-23,3,24540,2506
2671-8,4,16800,4162
2607-19,4,36600,2519
1715-19,2,11400,2278
2596-31,4,23700,2246
2971-5,4,26760,3705
3270-19,3,19680,2199
2602-37,6,41820,7403
479-33,1,9000,387
844-39,2,6240,2393
1626-23,2,13320,2214
1881-33,2,9240,1252
3652-13,3,21540,1864
2118-15,2,10620,1833
505-22,1,10140,732
110-21,2,7380,1251
1406-21,2,17400,2135
4493-38,3,20400,2055
3481-9,1,4980,1301
351-19,2,14340,1858
1558-11,4,25140,3078
3043-28,3,18660,1008
2837-26,1,2580,721
2042-12,4,28800,3691
111-29,1,10320,326
4305-40,2,12000,1883
1766-10,1,3780,553
1202-38,3,7920,2002
2979-14,2,18480,2188
2473-25,2,19140,2726
2376-4,5,36420,5741
11-10,2,7440,2208
4952-36,3,17100,3320
2302-21,2,4140,2964
1590-27,4,27420,3410
1502-23,1,6600,457
129-4,2,9660,1156
3604-17,4,24600,2208
4196-5,3,19260,3570
290-16,2,8280,2752
1677-26,1,9180,702
1845-16,4,21540,2327
3636-18,5,33600,2828
2694-1,5,31260,4492
1828-3,1,8580,456
4761-12,5,33900,3939
1371-23,2,10080,1964
4794-9,4,18780,3309
3823-21,3,15420,1699
183-26,5,27420,3438
351-38,5,31140,4431
3587-39,6,35700,4839
1402-52,2,15420,3141
2756-4,2,11640,1590
4774-19,1,10260,742
2850-1,2,9600,1728
4436-29,3,20160,1698
3213-38,4,22200,3584
4207-17,2,11760,1714
3968-38,6,24780,5636
3928-17,2,11520,1159
3430-29,4,14940,3742
3489-34,2,6240,1347
1896-17,1,5460,336
2909-25,2,10980,1408
1412-3,2,18600,1310
3383-11,3,17400,855
1944-34,1,4140,548
4000-22,4,20940,2676
3119-17,3,27720,3691
656-28,2,12360,2251
350-8,1,8220,1214
3999-27,5,25740,3224
1144-34,3,19800,5044
398-39,3,21120,3295
646-1,1,7380,544
4509-26,2,16620,2736
4133-18,3,19680,3648
2235-8,4,23760,4156
4516-15,1,6420,752
2773-8,2,14220,1880
1484-2,1,5820,454
2235-41,1,7860,1514
1984-14,3,15960,2377
1963-6,1,6600,1187
810-39,1,7980,464
3197-10,4,29400,4006
4416-3,1,4320,1261
514-20,3,13860,3004
334-4,3,17220,3933
2513-13,4,21840,4599
4096-32,3,21060,2814
4820-18,1,2340,1151
8-23,2,15300,1747
2004-1,3,18780,1674
4260-31,2,12480,3069
4877-33,1,9420,1895
2129-5,2,17280,1795
2947-13,3,12780,2011
3612-25,1,6420,1543
3066-15,3,19260,2305
1103-15,4,23880,2403
680-6,3,25800,1943
4534-16,3,12480,3842
3370-39,3,20520,2922
4048-39,2,7920,1444
2824-23,5,33540,3789
10-9,4,23460,5182
4254-35,2,8700,1863
2832-31,1,3180,711
3948-6,2,12540,1696
4217-18,4,18120,2549
2187-6,2,13440,1997
674-17,1,6240,1027
2028-38,5,37980,4809
1457-18,2,9840,2562
44-7,2,13620,2015
4912-9,2,11040,2620
4194-18,2,18720,1867
3610-4,2,14460,1092
1895-38,2,12540,2005
3782-34,2,14460,1795
2287-8,3,13680,3663
4571-2,3,15900,2582
2572-8,2,9540,1401
1416-15,4,33540,6087
9-40,2,9600,2837
1863-1,2,9780,1047
1234-7,3,19260,2351
3126-23,3,14100,3958
4712-1,2,19800,2611
2458-35,1,4260,435
10-25,2,8280,2015
3005-3,4,24840,3841
4648-2,3,16620,2563
4976-41,2,17760,1222
268-16,2,18600,2377
3862-1,3,16740,4148
2715-15,2,12300,1570
4547-25,2,17040,1803
2642-34,2,15540,908
3807-18,3,22800,2976
1392-21,1,2160,585
1083-19,4,15420,4431
294-6,5,34380,4442
4080-14,5,33360,5056
2836-16,3,20460,2140
4965-24,2,11160,1743
4206-36,4,20220,4234
2155-38,3,23400,3634
2345-2,1,9900,561
3924-41,2,6480,2263
1855-5,2,18060,3233
3869-2,3,24600,3306
3791-9,3,14760,1512
3033-40,2,11160,2408
845-19,1,4080,850
1708-15,6,32820,6200
2008-33,3,26700,3193
1274-3,4,19980,3757
4435-30,3,19920,2382
2105-30,1,3660,745
2968-32,2,16800,658
4243-16,1,8040,1624
4842-15,3,18840,2400
1213-29,3,20340,1846
2198-4,3,13440,2848
4810-35,2,15240,1612
3285-40,3,14280,1693
2265-37,1,3360,635
1611-21,1,7020,493
1419-16,3,14580,1311
1787-10,2,10560,1322
4400-41,4,33060,2490
1878-16,2,11400,2146
2908-1,1,2820,378
380-30,1,7980,1956
3301-29,3,19380,2124
694-26,1,6360,1021
3577-18,3,17760,3063
4146-12,3,30660,1148
1448-21,2,13560,2035
2391-29,4,22860,2393
1756-26,2,18600,2500
3085-12,1,3300,450
1880-9,1,5640,440
2810-23,3,20340,2692
848-28,2,13680,1505
2972-3,2,14100,2387
4062-32,1,6720,759
1196-36,1,5880,788
1513-2,5,30660,6054
3903-16,3,18960,2714
3321-16,1,8340,670
2458-34,1,9240,548
3463-12,3,16500,1375
3451-19,1,9360,1603
227-25,1,6000,1358
1808-32,3,13500,2855
4309-22,3,19800,2281
419-6,3,19860,2427
1876-19,2,12420,1138
3156-14,1,2460,575
919-9,2,16560,741
4873-23,2,10980,2275
4055-18,3,15240,2926
3819-36,3,18180,2356
4272-2,3,13500,3219
2632-28,1,6000,1088
3675-27,7,45180,7684
1346-4,4,30240,4239
4631-17,3,20460,2247
1830-36,2,16380,2125
1664-31,1,10620,1107
4420-41,4,25140,4284
85-17,3,16740,4168
3813-29,4,18720,4532
887-27,3,12360,1221
3340-4,3,16560,2468
4208-27,1,4920,1139
2676-5,1,3600,550
2798-19,1,4500,1403
4148-9,1,2880,1050
2132-36,4,23640,2397
3695-25,3,13140,2229
2760-10,4,25440,2924
2779-3,3,16080,2100
741-31,4,27120,4794
2877-4,2,12420,610
4521-30,2,16500,3094
1712-40,2,13980,2365
56-23,3,22500,2084
3363-33,3,25020,2557
2860-41,1,8160,461
807-24,3,20820,3273
3057-2,1,2760,1066
4751-33,1,9960,1425
1007-7,2,8820,2613
4104-26,2,11220,3065
1782-2,4,30480,2669
990-39,1,3840,897
3934-9,2,9300,2064
3165-38,2,7560,1290
3370-21,3,20580,1604
2079-40,3,10560,2603
378-37,2,14160,2314
2378-40,3,16440,3836
282-4,2,11400,2226
4735-5,2,15660,1765
2920-38,4,28800,2593
4165-35,2,13680,1118
3595-8,3,13920,1985
1839-17,2,14940,1654
4433-40,4,36060,3540
2893-32,2,11580,1502
215-40,4,28200,4272
4731-19,4,31560,2561
4519-35,3,20040,3637
2121-27,1,4200,1225
3794-26,1,2040,1359
2871-30,2,12900,3831
786-41,2,6480,1696
938-6,2,10620,1087
1690-19,3,25920,2347
3712-28,1,8940,1652
1257-23,3,15240,2071
3113-10,2,8520,1388
4535-34,3,20160,1427
1338-39,2,4320,1802
270-7,5,22560,5932
1491-21,2,4680,1473
2122-2,2,13320,1988
1681-23,2,15420,1376
4770-22,3,15180,2466
3854-40,2,13380,1228
410-13,1,6660,419
1442-2,3,8700,2479
2259-26,1,10020,347
792-7,2,15180,2345
360-26,3,11040,2973
4678-24,2,11280,2241
423-34,3,8100,1194
121-8,2,13020,1457
2221-14,2,10440,1536
4130-20,1,5100,643
2966-26,3,14820,2664
71-17,3,17100,2270
4641-19,2,12660,2105
3693-20,2,15720,2635
4631-16,4,31140,4079
3730-3,1,2700,910
14-17,4,13560,2081
3901-3,3,13140,4120
3620-11,4,26340,5148
271-28,2,5400,2033
3125-31,3,20160,3636
1584-24,4,30360,2204
4559-12,3,23280,1980
523-10,1,7680,459
2818-4,2,11700,798
4951-15,2,4680,1813
2840-1,2,11400,2241
443-5,3,28140,1635
2084-6,1,2340,468
2928-34,2,11820,1746
1222-35,2,12900,693
3450-16,3,22320,4094
2441-31,2,12240,1273
2363-38,4,22380,3924
4504-3,1,4260,461
895-35,2,13800,1958
2254-31,2,10320,1945
2011-2,1,9420,1095
4994-1,2,17220,1845
4191-5,5,27600,5449
4636-35,4,23880,2150
3216-10,5,31080,3733
4605-27,3,15720,2287
2561-19,1,6240,466
2847-32,2,7380,1824
1046-38,2,17400,2026
4834-33,1,9960,1327
2935-11,3,7680,2024
471-30,1,5160,1385
4380-36,1,9180,728
372-33,1,3780,720
3404-21,2,12480,1735
1404-12,3,21780,1780
4603-9,2,17880,856
3947-16,2,9300,2206
4076-11,3,16740,2230
4674-32,2,10140,1640
2521-29,3,17040,2347
1008-36,1,2760,939
3347-25,2,10140,2207
668-31,2,15000,1271
1447-40,1,3540,982
3967-27,2,15780,1171
1908-19,3,19680,2114
2368-7,2,12420,1694
2106-13,2,6840,1655
4369-26,1,6300,1246
3030-19,2,12360,2927
41-27,4,20820,3536
4834-29,3,18840,2159
4805-30,2,15720,2956
126-35,2,11460,1260
778-17,1,7860,811
836-26,1,8040,368
879-28,1,8100,1136
4490-6,2,13620,1254
4924-41,2,11040,840
837-2,3,19620,2851
525-13,1,4620,611
1252-3,1,9780,856
4242-3,3,16680,2903
735-16,2,7440,1204
169-3,5,31380,5229
1149-41,2,9480,957
300-10,2,10320,2443
3322-40,3,22440,2807
522-33,1,10140,933
618-39,2,18480,2535
3585-18,2,12120,2397
1718-35,1,8040,536
4602-13,4,23280,2495
302-18,3,18420,2765
653-22,2,13380,1775
3302-40,2,12900,1355
4160-6,2,12780,1187
2638-2,1,7440,1470
2280-27,2,9120,1800
1623-23,4,30600,2848
4415-22,6,34500,6347
1682-8,3,18600,2533
4925-4,2,5940,2570
92-31,3,18840,2162
3707-4,3,21600,2550
961-19,2,12120,2282
4160-18,4,27000,4063
844-29,5,34920,3740
219-32,2,10260,1713
704-11,3,16560,4552
4715-41,3,13440,2332
247-29,3,11940,2920
4038-10,2,14760,1802
57-2,2,11400,1224
3960-8,3,18900,2084
4853-12,3,28800,3137
1859-25,2,13380,1678
1913-28,1,7020,1039
4222-10,2,17040,1930
267-7,4,22920,3349
3483-4,2,15960,1474
1681-25,2,18720,1660
3194-13,3,10740,3159
1532-19,2,12360,1365
2007-1,3,16380,2529
4706-7,3,19140,2512
4565-2,1,8640,1790
4897-10,2,18000,1540
4229-30,2,13860,2391
3451-15,1,4080,509
1020-27,2,11820,1598
318-38,5,21420,4756
1601-31,3,22260,2381
711-17,2,11340,1633
3197-9,2,18420,2234
451-7,1,6060,1617
1882-15,1,9900,1325
1744-40,4,23940,3355
1324-36,2,13740,3373
3561-18,2,7860,2715
2681-5,4,28680,3554
4238-9,1,1800,294
3052-19,2,10740,1320
4665-26,3,20880,2471
2352-39,1,6420,816
2641-20,4,24540,4125
4126-10,1,2820,173
3449-2,3,23820,2468
695-35,3,20340,1831
4254-27,2,21180,2878
2194-28,2,12840,2530
340-15,3,14520,1872
1769-22,3,18000,2657
92-36,4,27840,3334
4425-7,1,7860,1152
172-3,1,7260,516
2750-13,4,24000,4085
3103-39,3,12900,1971
621-1,2,13020,2315
989-9,2,12000,929
77-10,3,17400,2403
2199-11,4,22380,4409
4238-34,3,14040,3040
231-27,4,16200,3982
2176-15,2,13260,1572
2908-13,1,5940,1173
2545-35,2,7800,1306
3613-35,3,26940,2575
2858-22,1,10560,685
1554-12,1,4800,507
4365-39,1,8700,732
2666-27,1,3180,520
3741-25,3,20280,2958
962-6,3,13620,2744
1628-41,1,5340,632
1968-28,4,28320,3060
3332-23,1,9600,1255
1075-15,2,11280,907
3205-2,1,3180,1128
1029-29,3,15000,1516
648-32,1,3480,1089
4834-17,3,11760,1677
3163-2,3,15120,1887
4916-39,2,17880,1086
903-26,4,24360,4188
4068-33,5,39480,4891
1504-36,4,31440,2897
2863-20,3,16920,1996
4479-37,2,8940,1368
2898-12,1,5940,736
1346-21,5,35280,3224
490-9,3,12480,1508
426-5,1,3720,900
2732-26,1,6120,520
3992-26,1,8700,1207
1408-23,3,26100,3511
423-39,2,13140,1477
2956-34,1,2640,894
1215-28,3,17280,3069
3943-35,1,1860,385
1801-19,3,18600,2133
4951-22,3,18180,2373
4461-24,2,12180,1381
2070-13,3,15000,3215
4644-10,2,14460,2477
2378-14,2,10380,1698
2104-11,3,13920,4151
1272-32,3,17400,3692
4357-39,2,6180,1645
3844-24,2,10500,2202
435-29,2,13140,2309
3599-25,3,16020,3902
3550-9,2,15600,1752
3772-17,3,13440,4030
535-13,4,25680,5019
381-6,4,16980,3511
2151-1,2,9840,1085
4125-16,2,12780,2684
3926-5,4,31680,4858
3129-13,2,9840,1786
4050-34,2,19140,688
547-4,2,15960,2749
3617-32,4,17580,2932
4423-18,2,15840,1517
1752-19,1,5580,629
4825-38,2,19200,2194
3116-1,3,9420,3286
219-15,2,8340,590
126-25,2,13380,1633
4978-29,3,15360,3262
4415-4,3,13200,3271
1329-18,3,16980,3009
1224-9,1,2940,1788
4181-10,1,4620,491
2771-22,3,20100,1896
1575-20,9,68760,8346
1943-20,1,5640,749
3341-37,2,17340,1890
4458-30,3,17400,3452
2415-1,2,8640,2183
1255-34,2,17100,2309
988-7,2,16380,1535
1849-39,3,18480,2557
3902-41,2,9780,1398
4927-28,2,11160,2615
3720-21,2,11580,978
1318-22,1,6360,608
1372-35,2,14400,620
4972-35,3,17220,2588
361-26,1,7920,262
358-19,1,9300,338
3202-33,3,24960,2213
3891-3,3,18180,2292
2784-1,3,15780,2316
64-22,3,20940,1468
2229-1,5,33900,4110
2635-16,1,6480,723
3850-24,2,16440,854
3939-20,2,13140,943
1516-33,3,15480,2127
580-4,3,13320,2634
4418-32,1,5520,400
2332-41,3,16860,2120
2414-29,5,25380,6351
2159-1,1,2760,714
2126-5,1,7080,1488
3770-22,3,16140,2787
2284-25,1,8400,1333
3767-21,2,7200,1820
3106-14,4,26940,3097
3553-15,1,3360,353
3476-23,1,7800,450
1839-29,1,9600,1402
222-18,4,21600,3162
896-4,1,6540,1076
3412-30,2,15360,2664
3009-6,2,19020,2328
985-28,2,13560,1242
1633-1,2,19740,731
3671-21,2,7740,2464
2891-33,3,23340,2370
2044-24,1,9780,899
1409-18,3,18540,2296
3873-3,2,7080,2333
4678-29,2,10860,2030
1336-16,3,13320,3974
3638-10,1,4860,470
3459-24,4,27780,3347
4398-10,2,17040,2635
3601-37,1,2640,979
4887-18,3,17520,1931
1376-14,2,12300,1665
1534-32,3,16920,3167
1953-5,1,4980,1915
3258-1,2,13320,1071
2992-36,2,14940,2696
4691-36,4,24900,3804
3497-6,2,14100,1551
4158-8,3,18840,2009
3473-33,2,14280,1814
2918-34,2,10380,2703
1166-40,2,11700,1755
4562-2,4,22140,1647
2359-22,1,2220,1396
3239-21,6,28140,4107
4912-38,1,2220,979
2151-12,2,9900,1226
2076-6,1,10260,1124
3668-28,1,7560,226
4604-19,3,26400,3920
2182-18,2,12120,2877
59-22,1,2760,431
1959-20,3,24360,2730
185-17,2,10500,2223
2620-3,3,18420,2345
1681-39,2,14460,1686
578-3,1,4740,259
3955-22,1,9360,568
4278-36,3,13080,955
71-38,3,22260,2118
556-12,4,21240,3838
852-12,3,16860,2000
1219-17,1,2100,1393
3641-28,1,2100,323
1913-21,3,14820,1626
2731-52,1,8220,1084
2366-12,1,9420,629
4925-6,3,20580,2996
267-4,2,11100,2109
3917-29,1,10380,983
4710-37,2,6480,1398
1401-14,2,11040,2255
4674-9,4,31440,2244
3694-27,3,24420,2515
4728-18,2,10500,2128
2327-24,2,18480,1188
2802-41,2,14520,1640
2035-32,2,11400,2472
2831-37,3,14880,3024
985-40,7,53100,5997
4100-15,4,25380,5130
1076-15,2,14880,2861
1024-18,2,18600,1374
3898-31,2,5520,2033
4875-27,2,3960,2650
280-11,1,2460,683
1112-41,2,8760,1622
1184-8,1,6000,215
2076-32,2,15600,1193
3600-41,4,31500,3219
4906-14,6,50640,3086
3943-2,3,20400,2407
272-7,3,27240,2846
1124-16,2,12840,2480
3980-2,2,17460,1969
1228-33,1,10680,1529
190-31,4,21300,2810
546-7,3,13500,1795
2342-23,4,20520,2858
3967-7,4,19620,4490
4015-8,2,4260,720
4944-28,3,17940,2519
4867-33,4,21060,2639
769-39,3,18120,2463
3776-9,3,23160,1619
2732-20,3,16800,2201
1011-34,3,17580,2780
4799-13,2,15600,793
465-20,6,37680,5240
2601-14,3,20520,2503
1453-30,3,18540,3690
3469-23,2,13080,1661
4290-7,3,16320,2358
66-28,2,11040,1417
2603-41,2,14580,1026
1726-20,1,8460,719
4697-32,2,12600,1106
1500-18,2,12000,2230
1905-17,2,7800,1150
4572-15,1,4080,401
3965-38,3,19920,3062
2810-27,2,14460,1616
4091-21,3,20760,2071
887-9,1,3480,665
3809-13,1,3900,429
4178-31,2,17820,2010
1961-14,2,17520,1594
2748-36,4,27420,4416
44-16,3,23760,2971
3843-37,3,14400,3002
4706-29,4,13920,3744
1889-14,2,15360,1549
3899-14,4,22680,3686
3893-3,1,7140,426
720-10,4,33120,2249
691-22,2,12360,1801
1946-25,2,14760,2239
110-52,1,6300,1322
4315-26,3,26880,2355
4559-32,2,10680,2698
515-28,3,17400,1926
637-23,1,3780,432
3329-5,3,15840,2771
627-22,1,6600,563
70-3,5,26820,4497
2507-19,4,29580,4228
3890-52,1,2040,1119
3800-25,2,14580,1259
1851-5,1,2760,817
4320-18,4,25560,4943
2879-1,2,13200,1080
3353-22,3,13080,1748
3978-19,4,28680,3426
1635-21,2,15360,1424
3477-2,1,2220,250
2544-26,4,23460,2372
769-26,7,48900,7454
2604-35,3,15300,3155
992-11,3,22980,1591
1729-24,2,9540,2404
2029-19,3,24720,1414
1530-10,2,11220,2624
489-19,2,7140,2102
4153-2,1,5880,788
512-20,3,19020,2041
3320-30,1,9000,592
2152-16,3,17580,3520
2605-14,2,13980,1778
2108-12,1,2580,602
735-12,2,11520,1421
3310-27,1,9840,841
371-13,1,3000,753
2074-24,2,9420,1649
4702-41,1,7440,581
4206-6,2,10440,1010
4869-21,5,23280,4616
2302-8,4,22020,3004
1831-12,2,11820,1787
1860-33,3,10680,3477
917-9,3,13860,1651
3176-29,3,26520,1677
2663-38,1,2160,812
2635-38,3,15720,2715
4693-41,3,11460,3002
1238-22,5,21120,2961
2161-23,2,16980,926
1336-7,3,18960,2888
2617-23,4,29820,5596
2944-25,3,12300,2727
762-37,2,15420,3077
3719-2,4,19800,3406
2701-9,3,15840,2135
2132-14,2,11760,1187
4815-27,2,9540,1654
1954-6,1,2100,560
949-6,2,9180,2787
302-1,1,3780,444
4025-17,2,16920,2433
2589-41,3,14460,1574
3695-35,1,8280,839
2702-30,1,8520,1145
1476-9,1,2460,680
614-35,3,19020,1994
669-27,3,16140,3406
2129-13,1,2340,1139
218-40,2,10080,2824
2932-34,3,22440,1223
749-37,2,14400,2337
4221-25,2,7200,1803
201-24,3,13020,1668
2622-25,3,21840,3377
722-40,4,28500,3733
952-11,2,17940,1216
1882-33,1,5100,1051
2228-28,4,27360,2247
1433-9,2,14580,2278
2321-1,1,9120,1313
1777-23,3,11460,4100
699-8,3,16020,1898
2969-22,2,14460,1288
622-10,3,11400,3159
